standard_bangla,dialect_v1,dialect_v2,dialect_v3,dialect_v4,dialect_v5,dialect
সে একটি বন্য খরগোশ ধরেছে,ইতে উজ্ঞা বইন্য খরগোর ধইজ্জে,ইতে একখান বন্য হরগস ধইর‍ছে ,উঁইতে একখান বন্য হরগস ধইর‍ছে যে,ইতে উজ্ঞা বইন্য খরগোর ধইজ্জে,ইতে একখান বন্য হরগস ধইর‍ছে ,chattogram
আমার মা কাঠবিড়ালি দেখেছেন,আঁর মা চোলা দেখের,আর মা কাঠবিড়ালি দেহিছেন,আঁর মা কাঠবিড়ালি দেহিছেন যে,আর মা কাঠবিড়ালি দেহিছেন,আঁর মা কাঠবিড়ালি দেহিছেন যে,chattogram
তারা ঈগল পাখি দেখছে,ইতেরা চিল দেখের,ইতারা ঈগল পাখি চার,ইতারা ঈগল পাখি চার যে,ইতারা ঈগল পাখি চার যে,ইতেরা চিল দেখের,chattogram
সে প্যাঁচা দেখছে,ইতে পেচা দেখের,ইতে প্যাঁচা চার,উঁইতে প্যাঁচা চার যে,ইতে পেচা দেখের,ইতে প্যাঁচা চার,chattogram
শিক্ষক বন্য মহিষের কথা বলছেন,মাস্টর বইন্য মোষ কথা কর,মাস্টার সাব বন্য মহিষর হতা গইর‍ছেন,মাস্টার সাব বন্য মহিষর হতা গইর‍ছেন যে,মাস্টার সাব বন্য মহিষর হতা গইর‍ছেন,মাস্টার সাব বন্য মহিষর হতা গইর‍ছেন যে,chattogram
বাচ্চারা বন্য হাঁস দেখছে,গুড়াপোয়া অল বইন্য হাঁস দেখের,হুরো পোলাপাইন বন্য হাঁস চার,হুরো পোলাপাইন বন্য হাঁস চার যে,হুরো পোলাপাইন বন্য হাঁস চার যে,গুড়াপোয়া অল বইন্য হাঁস দেখের,chattogram
তিনি বন্য ছাগল দেখেছেন,ইতে বইন্য ছল দেখের,তেঁই বন্য ছাগল দেহিছেন,তেঁই বন্য ছাগল দেহিছেন যে,ইতে বইন্য ছল দেখের,তেঁই বন্য ছাগল দেহিছেন,chattogram
আমি বনমোরগ দেখেছি,আঁই বইন্য কুড়া চাইর,আই বনমোরগ দেহিছি,আঁই বনমোরগ দেহিছি যে,আই বনমোরগ দেহিছি,আঁই বনমোরগ দেহিছি যে,chattogram
আমার একটি বিড়াল আছে,আঁর উজ্ঞা বিলাই আছে,আর একখান বিলাই আছে,আঁর একখান বিলাই আছে যে,আঁর একখান বিলাই আছে যে,আঁর উজ্ঞা বিলাই আছে,chattogram
সে কুকুরকে খাবার দিচ্ছে,ইতে কুত্তারে খন দের,ইতে হুক্কুররে খাবার দিচ্ছে,উঁইতে হুক্কুররে খাবার দিচ্ছে যে,ইতে কুত্তারে খন দের,ইতে হুক্কুররে খাবার দিচ্ছে,chattogram
আমার বোন পাখি পছন্দ করে,আঁর বোইন পাখি পছন্দ হড়ে,আর বইন পাখি পছন্দ গরে,আঁর বইন পাখি পছন্দ গরে যে,আর বইন পাখি পছন্দ গরে,আঁর বইন পাখি পছন্দ গরে যে,chattogram
তোমার বাবা কি মাছ পোষেন ,তোঁতার বাভা মাছ পালের না,তোর বাবা কি মাছ পুসেন,তোর বাবা কি মাছ পুসেন যে,তোর বাবা কি মাছ পুসেন যে,তোঁতার বাভা মাছ পালের না,chattogram
আমরা আজ খরগোশ কিনবো,আঁরা আজুয়া খইরগোস কিন্নুম,আঁরা আজ হরগস কিন‍ুম,আঁরা আজ হরগস কিন‍ুম যে,আঁরা আজুয়া খইরগোস কিন্নুম,আঁরা আজ হরগস কিন‍ুম,chattogram
তারা কচ্ছপ দেখছে,ইতেরা কাছিম দেখের,ইতারা কচ্ছপ চার,ইতারা কচ্ছপ চার যে,ইতারা কচ্ছপ চার,ইতারা কচ্ছপ চার যে,chattogram
